0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
파일 이름,ID,아이템 이름,아이템 타입,상호작용 유무,스택 가능 유무,스택 갯수,아이콘 주소,설명,사용가능 타입,사용 타입,Value/던지기가능,지속시간/범위,쿨타임/사거리,프리펩 주소
id 100~,int,string,string,bool,bool,int,string,string,string,string,int,float,float,string
MediKit_Item,100,체력 키트,Available,1,1,3,Icons/AvailableIcons/HealIcon/MediKit_HP_01,체력을 30 만큼 회복,Healing,HP,30,30,60,Prefabs/Player_Prefabs/Available/HealItem/Hp_Item/MediKit_01
Water_Item,101,물,Available,1,0,1,Icons/AvailableIcons/HealIcon/Water_Stemina_01,스테미너를 20만큼 회복,Healing,Stemina,50,20,0,null
Brick_Item,102,벽돌,Available,1,1,3,Icons/AvailableIcons/SoundItemIcon/Brick_Brick_01,던지면 소리가 날지도...,SoundItem,Brick,1,10,10,Prefabs/Player_Prefabs/Available/SoundItem/Brick_01
CoffeeCup_Item,103,커피 컵,Available,1,0,1,Icons/AvailableIcons/SoundItemIcon/CoffeeCup_Glass_01,안깨지게 조심하자!,SoundItem,Glass,1,15,10,Prefabs/Player_Prefabs/Available/SoundItem/CoffeeCup_01
Cookie_Item,104,쿠키,Available,1,1,5,Icons/AvailableIcons/HealIcon/Cookie_HP_01,체력을 20만큼 회복,Healing,HP,20,1,30,Prefabs/Player_Prefabs/Available/HealItem/Hp_Item/Cookie_01
Coffee_Item,105,커피,Available,1,0,1,Icons/AvailableIcons/HealIcon/Coffee_Stemina_01,스테미너를 30만큼 회복,Healing,Stemina,30,1,60,Prefabs/Player_Prefabs/Available/HealItem/Stemina_Item/Coffee_01
Hotdog_Item,106,핫도그,Available,1,0,1,Icons/AvailableIcons/HealIcon/Hotdog_HP_01,체력을 40만큼 회복,Healing,HP,40,1,60,Prefabs/Player_Prefabs/Available/HealItem/Hp_Item/HotDog_01
Potato_Item,107,감자튀김,Available,1,0,1,Icons/AvailableIcons/HealIcon/Potato_HP_01,체력을 35만큼 회복,Healing,HP,35,1,60,Prefabs/Player_Prefabs/Available/HealItem/Hp_Item/Potato_01
